"ID"	"Дата.изменения.статуса"	"Статус"	"Автор"	"Пользователь"	"Категория.автора"	"Контент"	"Тип.обращения"	"Хост"	"Подписчики"	"Тема"	"Локация"	"Тональность"	"Тип"
286673	2088-04-03 20:03:13	"Новый"	"token_52970"	"token_111453"	"Обычный"	"'Привеееет"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 20:03:14	"Новый"	"token_52970"	"token_111453"	"Обычный"	"'Как дела"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 20:03:16	"Новый"	"token_52970"	"token_111453"	"Обычный"	"'?"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 20:12:40	"Инцидент"	"token_NA"	"token_111453"						"Прочее"	"Не определена"		"2-инцидент"
286673	2088-04-03 21:48:07	"Инцидент"	"token_52970"	"token_NA"	"Обычный"	"'xxxx ты мене не отвечаешь xxxx?!"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 22:10:40	"Ожидание ответа автора"	"token_111417"	"token_111447"		"'Привет, Герман. Все отлично. Чем можем вам помочь?"							"1-ответ"
286673	2088-04-03 22:10:41	"Ожидание ответа автора"	"token_NA"	"token_111447"						"Прочее"	"Не определена"		"2-инцидент"
286673	2088-04-03 22:13:12	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
286673	2088-04-03 22:13:13	"Инцидент"	"token_52970"	"token_NA"	"Обычный"	"'Ох наконец-то"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 22:13:13	"Инцидент"	"token_52970"	"token_NA"	"Обычный"	"'Ответили"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 22:13:15	"Инцидент"	"token_52970"	"token_NA"	"Обычный"	"'Да не"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-03 22:13:17	"Инцидент"	"token_52970"	"token_NA"	"Обычный"	"'Я просто хотел спросить как дела"	"Личное сообщение"	"'ВКонтакте"	1	"Прочее"			"0-пост"
286673	2088-04-04 00:29:18	"Закрытые"	"token_111417"	"token_111447"		"'Появятся вопросы, пишите. Всего доброго. Оцените, пожалуйста, качество консулxxxxxxxxxxx2.ru/opros/agency-sm-quality"							"1-ответ"
286673	2088-04-04 00:29:18	"Закрытые"	"token_NA"	"token_111447"						"Прочее"	"Не определена"		"2-инцидент"
289802	2088-04-04 23:13:49	"Новый"	"token_43229"	"token_111453"	"Жалобщик"	"'Здраствуйте"	"Личное сообщение"	"'ВКонтакте"	0	"Прочее"			"0-пост"
289802	2088-04-04 23:18:49	"Новый"	"token_43229"	"token_111453"	"Жалобщик"	"'А как продлить интернет трафик на теле2 ?"	"Личное сообщение"	"'ВКонтакте"	0	"Прочее"			"0-пост"
289802	2088-04-04 23:40:41	"Инцидент"	"token_NA"	"token_111453"						"Прочее"	"Не определена"		"2-инцидент"
289802	2088-04-05 01:58:31	"Ожидание ответа автора"	"token_111419"	"token_111432"		"'Здравствуйте, Артем! Уточните, пожалуйста, ваш номер телефона и подскажите, какой объем интернета вы хотите добавить? Обязательно все подскажу.<U+0001F60A>"							"1-ответ"
289802	2088-04-05 01:58:31	"Ожидание ответа автора"	"token_NA"	"token_111432"						"Прочее"	"Не определена"		"2-инцидент"
289802	2088-04-05 04:13:54	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
289802	2088-04-05 04:13:54	"Инцидент"	"token_43229"	"token_NA"	"Жалобщик"	"'На 1 гб или на 5"	"Личное сообщение"	"'ВКонтакте"	0	"Прочее"			"0-пост"
